# wavelength [nm], spectral response green_blue [A / W]
300.00000000,0.01401275
305.00023025,0.01472203
310.00046050,0.01615624
315.00069076,0.01065809
320.00092101,0.00926888
325.00115126,0.01102789
329.99970695,0.00943323
334.99993720,0.00880907
340.00016746,0.00292252
345.00039771,0.00430782
350.00062796,0.00478133
355.00085821,0.00401139
360.00108846,0.00580856
364.99964416,0.00495155
369.99987441,0.00702363
375.00010466,0.00643371
380.00033491,0.00995957
385.00056516,0.00817316
390.00079542,0.01043503
395.00102567,0.00925909
400.00125592,0.01048297
404.99981161,0.01040373
409.99836731,0.01143390
415.00529579,0.01166185
419.99547869,0.01098778
425.00240718,0.01093300
429.99259008,0.01002218
434.99951856,0.01360185
440.00644705,0.01481790
444.99662995,0.02083555
450.00355844,0.02196942
454.99374134,0.02496992
460.00066982,0.02591791
465.00759831,0.02536908
469.99778121,0.03473746
475.00470969,0.04392584
479.99489260,0.05161445
485.00182108,0.06664535
490.00874957,0.08535081
494.99893247,0.09987885
500.00586095,0.10711842
504.99604386,0.12550104
510.00297234,0.14054759
514.99315524,0.15054601
520.00008373,0.15251243
525.00701221,0.16541646
529.99719512,0.17631494
535.00412360,0.17688236
539.99430650,0.17142334
545.00123499,0.17099288
550.00816347,0.17822266
554.99834637,0.16987760
560.00527486,0.15783449
564.99545776,0.14708276
570.00238625,0.14143786
575.00931473,0.13580274
579.99949763,0.12292806
585.00642612,0.10453565
589.99660902,0.09174902
595.00353750,0.07839496
599.99372041,0.06666491
605.00064889,0.05429015
610.00757738,0.04232824
614.99776028,0.03487541
620.00468876,0.03064907
624.99487167,0.02862884
630.00180015,0.02988989
635.00872863,0.02863275
639.99891154,0.02744898
645.00584002,0.02706059
649.99602292,0.02673188
655.00295141,0.02808196
659.99313431,0.03054536
665.00006280,0.03310758
670.00699128,0.03344902
674.99717418,0.03498693
680.00410267,0.03799037
684.99428557,0.04311383
690.00121405,0.05154010
695.00814254,0.05888727
699.99832544,0.06719321
705.00525393,0.07145868
709.99543683,0.07094017
715.00236531,0.07009881
720.00929380,0.06741822
724.99947670,0.06886613
730.00640518,0.07304355
734.99658809,0.07925588
740.00351657,0.08366810
744.99369948,0.08802162
750.00062796,0.08939127
755.00755644,0.09001739
759.99773935,0.08944997
765.00466783,0.09033046
769.99485073,0.09478181
775.00177922,0.09730587
780.00870770,0.10182571
784.99889061,0.10559224
790.00581909,0.10583682
794.99600199,0.10335189
800.00293048,0.10202137
804.99311338,0.10455522
810.00004186,0.10996532
815.00697035,0.11475909
819.99715325,0.11998331
825.00408174,0.12302589
829.99426464,0.12767290
835.00119312,0.12842621
840.00812161,0.12796640
844.99830451,0.12301610
850.00523299,0.11611895
854.99541590,0.11061102
860.00234438,0.10749996
865.00927287,0.10747061
869.99945577,0.10767606
875.00638425,0.10657056
879.99656716,0.10835110
885.00349564,0.10656077
889.99367854,0.10275511
895.00060703,0.09872444
900.00753551,0.09294257
904.99771841,0.08868688
910.00464690,0.08250390
914.99482980,0.07653615
920.00175829,0.07044123
925.00868677,0.06601727
929.99886967,0.06328775
935.00579816,0.06156102
939.99598106,0.05928839
945.00290954,0.05727696
950.00983803,0.05470692
955.00002093,0.05195686
960.00694942,0.04807782
964.99713232,0.04405889
970.00406080,0.03949209
974.99424371,0.03559545
980.00117219,0.03238852
985.00810067,0.03031644
989.99828358,0.02814653
995.00521206,0.02577801
999.99539497,0.02380279
1005.00232345,0.02113295
1010.00925193,0.01946981
1014.99943484,0.01769025
1020.00636332,0.01612592
1024.99654622,0.01498617
1030.00347471,0.01319292
1034.99365761,0.01170978
1040.00058610,0.01065026
1045.00751458,0.00901451
1049.99769748,0.00746388
1055.00462597,0.00606390
1059.99480887,0.00524994
1065.00173735,0.00450348
1070.00866584,0.00378833
1074.99884874,0.00345864
1080.00577723,0.00342146
1084.99596013,0.00315047
1090.00288861,0.00264957
1095.00981710,0.00295383
1100.00000000,0.00246369
