# wavelength [nm], spectral response [A / W]
300.00000000,0.01458213
305.00023025,0.01512020
310.00046050,0.01651235
315.00069076,0.01101518
320.00092101,0.00974043
325.00115126,0.01156597
329.99970695,0.01000751
334.99993720,0.00933834
340.00016746,0.00345962
345.00039771,0.00541919
350.00062796,0.00694243
355.00085821,0.00769965
360.00108846,0.01146325
364.99964416,0.01323400
369.99987441,0.01772743
375.00010466,0.02035323
380.00033491,0.02692754
385.00056516,0.02681308
390.00079542,0.02813576
395.00102567,0.02469404
400.00125592,0.02275012
404.99981161,0.01901881
409.99836731,0.01634506
415.00529579,0.01314498
419.99547869,0.00949780
425.00240718,0.00729854
429.99259008,0.00458468
434.99951856,0.00585454
440.00644705,0.00376387
444.99662995,0.00572834
450.00355844,0.00305166
454.99374134,0.00321895
460.00066982,0.00290295
465.00759831,0.00095414
469.99778121,0.00465708
475.00470969,0.00441837
479.99489260,0.00176615
485.00182108,0.00383725
490.00874957,0.00598172
494.99893247,0.00596901
500.00586095,0.00269066
504.99604386,0.00627718
510.00297234,0.00722028
514.99315524,0.00764487
520.00008373,0.00848720
525.00701221,0.01171761
529.99719512,0.01300801
535.00412360,0.01159532
539.99430650,0.01063070
545.00123499,0.00986565
550.00816347,0.01139476
554.99834637,0.01145346
560.00527486,0.01198665
564.99545776,0.01219503
570.00238625,0.01615820
575.00931473,0.03063146
579.99949763,0.07117496
585.00642612,0.11351662
589.99660902,0.13838550
595.00353750,0.15909652
599.99372041,0.18343710
605.00064889,0.19136149
610.00757738,0.18487523
614.99776028,0.18386756
620.00468876,0.18136307
624.99487167,0.18617640
630.00180015,0.19687921
635.00872863,0.19523563
639.99891154,0.18383821
645.00584002,0.17649104
649.99602292,0.17464201
655.00295141,0.17527792
659.99313431,0.17904445
665.00006280,0.18006190
670.00699128,0.16827315
674.99717418,0.15197436
680.00410267,0.14477393
684.99428557,0.14936224
690.00121405,0.16036833
695.00814254,0.16752963
699.99832544,0.17250928
705.00525393,0.17356586
709.99543683,0.16820467
715.00236531,0.16277500
720.00929380,0.15976178
724.99947670,0.16421313
730.00640518,0.17247993
734.99658809,0.18049236
740.00351657,0.18130437
744.99369948,0.17721499
750.00062796,0.17033741
755.00755644,0.16249129
759.99773935,0.15274723
765.00466783,0.14605552
769.99485073,0.14733712
775.00177922,0.14904918
780.00870770,0.15190587
784.99889061,0.15170043
790.00581909,0.14480327
794.99600199,0.13506900
800.00293048,0.12935561
804.99311338,0.12951214
810.00004186,0.13259385
815.00697035,0.13352325
819.99715325,0.13484398
825.00408174,0.13539184
829.99426464,0.13854203
835.00119312,0.13838550
840.00812161,0.13654626
844.99830451,0.12912082
850.00523299,0.12008115
854.99541590,0.11348727
860.00234438,0.10999467
865.00927287,0.10954465
869.99945577,0.10929028
875.00638425,0.10817500
879.99656716,0.10976966
885.00349564,0.10760758
889.99367854,0.10382148
895.00060703,0.10008430
900.00753551,0.09437092
904.99771841,0.08982173
910.00464690,0.08315938
914.99482980,0.07679052
920.00175829,0.07052927
925.00868677,0.06623054
929.99886967,0.06355092
935.00579816,0.06186724
939.99598106,0.05973450
945.00290954,0.05782678
950.00983803,0.05507966
955.00002093,0.05223568
960.00694942,0.04832436
964.99713232,0.04441304
970.00406080,0.03991473
974.99424371,0.03609830
980.00117219,0.03287963
985.00810067,0.03066472
989.99828358,0.02831382
995.00521206,0.02577019
999.99539497,0.02370887
1005.00232345,0.02098132
1010.00925193,0.01939252
1014.99943484,0.01763742
1020.00636332,0.01607504
1024.99654622,0.01497933
1030.00347471,0.01319389
1034.99365761,0.01169609
1040.00058610,0.01063461
1045.00751458,0.00897832
1049.99769748,0.00742670
1055.00462597,0.00604923
1059.99480887,0.00525581
1065.00173735,0.00451816
1070.00866584,0.00380105
1074.99884874,0.00347527
1080.00577723,0.00344299
1084.99596013,0.00317982
1090.00288861,0.00268283
1095.00981710,0.00298709
1100.00000000,0.00249108
